URL,CCPA,gpc_json,usp_string_off,usp_off_version,usp_string_on,usp_on_version,Optanon_w/GPC=off,Optanon_w/GPC=on,packet_gpc_off,packets_gpc_on,percentage_change
paramount.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,0,1,884,675,-23.64253394
hlserve.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
food.com,TRUE,json_err,1---,1,1---,1,0,0,,,
krebsonsecurity.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
aon.com,TRUE,NOT_FOUND,0,0,0,0,0,1,679,628,-7.511045655
9news.com,TRUE,NOT_FOUND,1YNY,1,1YNY,1,,,,,
abc7chicago.com,TRUE,json_err,1YNY,1,0,0,0,1,762,780,2.362204724
dollargeneral.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
medpagetoday.com,TRUE,NOT_FOUND,1YNY,1,1YNY,1,,,,,
madison.com,TRUE,NOT_FOUND,1YN-,1,1YY-,1,,,989,733,-25.88473205
publishersweekly.com,TRUE,json_err,1---,1,1---,1,,,,,
juniper.net,TRUE,NOT_FOUND,0,0,0,0,,,,,
fairmont.com,TRUE,NOT_FOUND,0,0,0,0,0,1,667,828,24.13793103
uline.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
blossomthemes.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
oprahdaily.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,0,1,818,786,-3.91198044
vitalsource.com,TRUE,json_err,0,0,0,0,,,,,
instructuremedia.com,TRUE,json_err,0,0,0,0,,,,,
kajabi.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
hotelscombined.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
flexjobs.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
business.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
textnow.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
jetpack.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
cloudlinux.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
palmbeachpost.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
abc7ny.com,TRUE,json_err,0,0,0,0,0,1,741,768,3.643724696
xtime.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
dignitymemorial.com,TRUE,NOT_FOUND,0,0,0,0,0,1,1026,755,-26.41325536
robertsspaceindustries.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
metrobyt-mobile.com,TRUE,json_err,0,0,0,0,,,,,
podium.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
compass.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
belka-games.com,TRUE,json_err,0,0,0,0,,,,,
download.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
successfactors.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
inhabitat.com,TRUE,NOT_FOUND,1YNY,1,1YNY,1,0,0,,,
imunify.com,TRUE,json_err,1---,1,1---,1,,,,,
abc7news.com,TRUE,json_err,0,0,0,0,0,1,749,750,0.133511348
wdc.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
goodnotes.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
bluejeans.com,TRUE,json_err,0,0,0,0,,,,,
food52.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
askmen.com,TRUE,NOT_FOUND,1YNY,1,1YNY,1,,,,,
greatist.com,TRUE,NOT_FOUND,1YNY,1,1YNY,1,,,,,
hachettebookgroup.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
golfdigest.com,TRUE,NOT_FOUND,1---,1,1---,1,0,0,,,
indexexchange.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
sparknotes.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,0,1,1095,791,-27.76255708
delltechnologies.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
ladbible.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
casetext.com,TRUE,NOT_FOUND,0,0,0,0,0,1,626,853,36.26198083
ihsmarkit.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
productmadness.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
lynda.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
patheos.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
excite.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
money.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
sonymobile.com,TRUE,json_err,0,0,0,0,,,,,
thisoldhouse.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
weheartit.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
imunify360.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
abc13.com,TRUE,json_err,0,0,0,0,0,1,735,744,1.224489796
stylecaster.com,TRUE,NOT_FOUND,1---,1,1---,1,0,1,573,773,34.90401396
bruteprotect.com,TRUE,json_err,0,0,0,0,,,,,
courier-journal.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
htc.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
wfaa.com,TRUE,NOT_FOUND,1YNY,1,1YNY,1,,,,,
pge.com,TRUE,NOT_FOUND,0,0,0,0,0,1,713,775,8.695652174
travelchannel.com,TRUE,NOT_FOUND,1---,1,1---,1,0,0,,,
